Comments,Date,Disposition,Location,Occured,Reported,UCPDI
Individual reports losing cash while being treated in the Emergency Department,Lost Property,Closed,5656 S. Maryland (UCM ED),1/1/19 2:00 AM to 7:45 AM,1/1/19 7:48 AM,19-00001
An unauthorized subject ignored several previous warnings not to trespass on private property was arrested by UCPD,Criminal Trespass to Land,Arrest,1421 E. 53rd St.,1/2/19 7:44 AM,1/2/19 7:44 AM,19-00002
"An unattended, unsecured laptop was taken from a desk in unlocked office",Theft,Open,929 E. 57th St. (Gordon Center),1/2/19 12:15 PM to 12:30 PM,1/2/19 12:32 PM,19-00003
Individual reports losing bracelet while waiting in ED,Lost Property,Closed,5656 S. Maryland (UCMED),1/3/19 2:10 PM to 2:13 PM,1/3/19 2:13 PM,19-00004
Credit cards taken from unattended wallet left in unsecured locker / Unauthorized use of credit cards reported,Theft,Open,5530 S. Ellis (Ratner A.C.),1/3/19 5:00 PM to 5:30 PM,1/3/19 7:12 PM,19-00005
Information relating to dispute between staff members,Information,Closed,5700 S. Maryland (CCD),1/4/19 4:00 PM,1/4/19 7:32 PM,19-00006
UCPD officer arrested a motorist for DUI,DUI,Arrest,810 E. 55th St.,1/5/19 9:24 PM,1/5/19 9:24 PM,19-00007
Sick person transported to UCMED for evaluation and treatment,Medical Call,Closed,1009 E. 57th St. (Snell-Hitchcock RH),1/6/19 5:25 PM,1/6/19 5:25 PM,19-00008
Individual transported to UCMED for evaluation,Mental Health Transport,Closed,5500 S. University (Campus North RH),1/6/19 9:49 PM,1/6/19 9:49 PM,19-00009
Unknown suspects broke glass in front door of business and took a cash box / CPD case JC107547,Information / Burglary,CPD,1307 E. 53rd St. (Retail Establishment),1/7/19 3:50 AM,1/7/19 4:43 AM,19-00010
Staff member reports receipt of several unwanted email messages from a known individual,Information,Closed,5735 S. Ellis (Searle Lab),10/11/18 to 1/7/19  Various times,1/7/19 12:20 PM,19-00011
"Unattended, unsecured laptop taken from study cubicle in reading room",Theft,Open,5845 S. Greenwood (Stuart Hall),1/7/19 12:42 PM to 12:45 PM,1/7/19 1:28 PM,19-00012
"Wallet taken from unattended, unsecured purse left in unlocked office",Theft,Open,947 E. 58th St. (Abbott Hall),1/2/19 10:30 AM to 10:45 AM,1/7/19 2:01 PM,19-00013
Individual complaining of pain in arm transported to UCMED by CFD EMS for evaluation and treatment,Medical Call,Closed,5500 S. University (Campus North RH),1/7/19 6:35 PM,1/7/19 6:36 PM,19-00014
Information regarding a well-being check,Information,Closed,850 E. 61st St. (UCPD HQ),1/7/19 11:28 PM,1/7/19 11:28 PM,19-00015
Contract employee was struck by a vehicle / Injured person transported to hospital by CFD EMS for evaluation / CPD case JC108704,Information / Traffic Accident,CPD,5705 S. University (Public Way),1/7/19 11:49 PM,1/7/19 11:49 PM,19-00016
"Three unknown suspects, one armed with a handgun, took property from two victims standing at a CTA bus stop off campus / CPD case JC108801",Information / Armed Robbery,CPD,5495 S. Hyde Park (CTA Bus Stop),1/8/19 5:15 AM,1/8/19 5:20 AM,19-00017
A person walking on the sidewalk off campus was approached by an unknown suspect armed with a knife / The victim struggled with the suspect who fled on foot / CPD case JC108835,Information / Armed Robbery,CPD,1013 E. 53rd St. (Public Way),1/8/19 6:10 AM,1/8/19 6:39 AM,19-00018
Information regarding harassing text messages from an individual,Harassment by Electronic Means,Open,Kenwood between 58th & 59th,1/7/19 to 1/8/19 7:00 AM to 9:25 AM,1/8/19 11:12 AM,19-00019
UCPD officer detained a suspect who had committed a theft / Suspect turned over to and arrested by CPD  / CPD case JC109300,Assist Other Agency / Theft,CPD,5300 S. Lake Park (Public Way),1/8/19 1:40 PM,1/8/19 1:45 PM,19-00020
Report of a water leak from ceiling in room 147 / Facilities on the scene,Information,Closed,950 E. 61st St. (Woodlawn Social Service Center),1/9/19 5:24 AM,1/9/19 5:24 AM,19-00021
Individual found a key and turned it over to UCPD for safekeeping,Found Property,Closed,5801 S. Ellis (Quad),1/9/19 2:45 PM,1/9/19 2:45 PM,19-00022
Staff member found a small bag of marijuana in patient's room / Substance turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),1/9/19 11:17 PM,1/9/19 11:17 PM,19-00023
Unknown suspect shattered window near entrance / Suspect fled prior to police arrival,Criminal Damage to Property,Open,969 E. 61st St. (SSA),1/10/19 4:20 AM,1/10/19 4:48 AM,19-00024
Unknown person(s) shattered glass in door to room 170 / Also broke a small table in the hallway,Criminal Damage to Property,Open,6030 S. Ellis (Edelstone),1/9/19 to 1/10/19 11:00 PM to 6:45 AM,1/10/19 6:53 AM,19-00025
Individual complained a known person brushed by them while entering a classroom,Information,Closed,5757 S. University (Saieh Hall),1/10/19 10:50 AM,1/10/19 11:10 AM,19-00026
Secured bicycle taken from bike rack,Theft,Open,1101 E. 58th St. (Rosenwald Hall Bike Rack),1/7/19 9:30 AM to 1:00 PM,1/10/19 1:37 PM,19-00027
Two people suffered gunshot wounds as the result of a drive-by shooting on the street off campus / CFD EMS transported the injured to the hospital / CPD case,Information / Aggravated Battery,CPD,5058 S. Drexel (Public Way),1/10/19 3:00 PM,1/10/19 3:03 PM,19-00028
Injured person transported by CFD EMS to UCMED for treatment,Medical Call,Closed,50th Pl. between Cornell & East End,1/11/19 10:49 AM,1/11/19 10:49 AM,19-00029
Information relating to a confrontation with an unknown person,Information,Closed,5500 S. Ellis (Public Way),1/10/19 3:00 PM,1/10/19 3:07 PM,19-00030
Victim was shot during the course of an argument with a known associate in an off campus private apartment / Suspect fled prior to police arrival / CPD case JC113053,Information / Aggravated Battery,CPD,Drexel between 46th & 47th (Private Apartment),1/11/19 3:05 PM,1/11/19 3:08 PM,19-00031
A person was reported missing by a family member  / Notification made to CPD and other agencies,Missing Person,Open,850 E. 61st St. (UCPD HQ),1/6/19 2:00 PM,1/11/19 10:43 PM,19-00032
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1005 E. 60th St. (Burton-Judson RH),1/12/19 1:46 AM,1/12/19 1:46 AM,19-00033
Sick person transported to UCMED for evaluation and treatment,Medical Call,Closed,5700 S. Stony Island (5700 Stony Island RH),1/12/19 6:04 AM,1/12/19 6:04 AM,19-00034
A tire was taken from a bicycle secured to a bike rack,Theft,Open,5500 S. University (Campus North RH),1/8/19 to 1/12/19 2:00 PM to 11:30 AM,1/12/19 11:40 AM,19-00035
A person banned from campus was seen attending an event at the Logan Center / Individual left prior to notification to UCPD,Criminal Trespass to Land,Closed,915 E. 60th St. (Logan Center),1/12/19 4:00 PM to 9:00 PM,1/12/19 9:55 PM,19-00036
Staff member found suspect marijuana among a patient's possessions / Turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/13/19 1:21 AM,1/13/19 1:21 AM,19-00037
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS,Liquor Law Violation,Referred,1101 E. 56th St. (Max Palevsky RH),1/13/19 1:26 AM,1/13/19 1:26 AM,19-00038
Number generated in error,Void,Void,Void,Void,Void,19-00039
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,969 E. 60th St. (SSA),9/1/17 to 11/1/18 Various times,1/14/19 4:18 PM,CSA Report    19-001
"An individual walking on the sidewalk off campus was grabbed by an unknown subject who forcibly attempted to take property from the victim / After a struggle, the suspect fled and was taken into custody by CPD officers / CPD case JC117196",Information / Attempt Robbery,CPD/Arrest,1451 E. 52nd St. (Public Way),1/14/19 10:00 PM,1/14/19 10:07 PM,19-00040
Staff member found suspect narcotics in a patient's room / Substance turned over to UCPD for proper disposal,Found Narcotics,Closed,5700 S. Maryland (CCD),1/15/19 11:43 AM,1/15/19 11:43 AM,19-00041
Unknown suspect was observed leaving the caf� without paying for food,Theft,Open,5706 S. University (Reynolds Club),1/15/19 11:45 AM,1/15/19 12:05 PM,19-00042
UCPD officer detained an individual who had taken merchandise from the store without paying / Management declined to prosecute,Theft,Ex. Cleared,1346 E. 53rd St. (Target),1/15/19 11:40 AM,1/15/19 11:46 AM,19-00043
