Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
Individual reports losing cash while being treated in the Emergency Department,Lost Property,Closed,5656 S. Maryland (UCM ED),2019-01-01,1/1/19 7:48 AM,19-00001,closed
An unauthorized subject ignored several previous warnings not to trespass on private property was arrested by UCPD,Trespass,Arrest,1421 E. 53rd St.,2019-01-02,1/2/19 7:44 AM,19-00002,arrested
"An unattended, unsecured laptop was taken from a desk in unlocked office",Theft,Open,929 E. 57th St. (Gordon Center),2019-01-02,1/2/19 12:32 PM,19-00003,open
Individual reports losing bracelet while waiting in ED,Lost Property,Closed,5656 S. Maryland (UCMED),2019-01-03,1/3/19 2:13 PM,19-00004,closed
Credit cards taken from unattended wallet left in unsecured locker / Unauthorized use of credit cards reported,Theft,Open,5530 S. Ellis (Ratner A.C.),2019-01-03,1/3/19 7:12 PM,19-00005,open
Information relating to dispute between staff members,Information,Closed,5700 S. Maryland (CCD),2019-01-04,1/4/19 7:32 PM,19-00006,closed
UCPD officer arrested a motorist for DUI,DUI,Arrest,810 E. 55th St.,2019-01-05,1/5/19 9:24 PM,19-00007,arrested
Sick person transported to UCMED for evaluation and treatment,Medical,Closed,1009 E. 57th St. (Snell-Hitchcock RH),2019-01-06,1/6/19 5:25 PM,19-00008,closed
Individual transported to UCMED for evaluation,Mental Health,Closed,5500 S. University (Campus North RH),2019-01-06,1/6/19 9:49 PM,19-00009,closed
Unknown suspects broke glass in front door of business and took a cash box / CPD case JC107547,Information,CPD,1307 E. 53rd St. (Retail Establishment),2019-01-07,1/7/19 4:43 AM,19-00010,cpd
Staff member reports receipt of several unwanted email messages from a known individual,Information,Closed,5735 S. Ellis (Searle Lab),2018-10-11,1/7/19 12:20 PM,19-00011,closed
"Unattended, unsecured laptop taken from study cubicle in reading room",Theft,Open,5845 S. Greenwood (Stuart Hall),2019-01-07,1/7/19 1:28 PM,19-00012,open
"Wallet taken from unattended, unsecured purse left in unlocked office",Theft,Open,947 E. 58th St. (Abbott Hall),2019-01-02,1/7/19 2:01 PM,19-00013,open
Individual complaining of pain in arm transported to UCMED by CFD EMS for evaluation and treatment,Medical,Closed,5500 S. University (Campus North RH),2019-01-07,1/7/19 6:36 PM,19-00014,closed
Information regarding a well-being check,Information,Closed,850 E. 61st St. (UCPD HQ),2019-01-07,1/7/19 11:28 PM,19-00015,closed
Contract employee was struck by a vehicle / Injured person transported to hospital by CFD EMS for evaluation / CPD case JC108704,Information,CPD,5705 S. University (Public Way),2019-01-07,1/7/19 11:49 PM,19-00016,cpd
"Three unknown suspects, one armed with a handgun, took property from two victims standing at a CTA bus stop off campus / CPD case JC108801",Information,CPD,5495 S. Hyde Park (CTA Bus Stop),2019-01-08,1/8/19 5:20 AM,19-00017,cpd
A person walking on the sidewalk off campus was approached by an unknown suspect armed with a knife / The victim struggled with the suspect who fled on foot / CPD case JC108835,Information,CPD,1013 E. 53rd St. (Public Way),2019-01-08,1/8/19 6:39 AM,19-00018,cpd
Information regarding harassing text messages from an individual,Harassment,Open,Kenwood between 58th & 59th,2019-01-07,1/8/19 11:12 AM,19-00019,open
UCPD officer detained a suspect who had committed a theft / Suspect turned over to and arrested by CPD  / CPD case JC109300,Theft,CPD,5300 S. Lake Park (Public Way),2019-01-08,1/8/19 1:45 PM,19-00020,cpd
Report of a water leak from ceiling in room 147 / Facilities on the scene,Information,Closed,950 E. 61st St. (Woodlawn Social Service Center),2019-01-09,1/9/19 5:24 AM,19-00021,closed
Individual found a key and turned it over to UCPD for safekeeping,Found Property,Closed,5801 S. Ellis (Quad),2019-01-09,1/9/19 2:45 PM,19-00022,closed
Staff member found a small bag of marijuana in patient's room / Substance turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-01-09,1/9/19 11:17 PM,19-00023,closed
Unknown suspect shattered window near entrance / Suspect fled prior to police arrival,Damage to Property,Open,969 E. 61st St. (SSA),2019-01-10,1/10/19 4:48 AM,19-00024,open
Unknown person(s) shattered glass in door to room 170 / Also broke a small table in the hallway,Damage to Property,Open,6030 S. Ellis (Edelstone),2019-01-09,1/10/19 6:53 AM,19-00025,open
Individual complained a known person brushed by them while entering a classroom,Information,Closed,5757 S. University (Saieh Hall),2019-01-10,1/10/19 11:10 AM,19-00026,closed
Secured bicycle taken from bike rack,Theft,Open,1101 E. 58th St. (Rosenwald Hall Bike Rack),2019-01-07,1/10/19 1:37 PM,19-00027,open
Two people suffered gunshot wounds as the result of a drive-by shooting on the street off campus / CFD EMS transported the injured to the hospital / CPD case,Information,CPD,5058 S. Drexel (Public Way),2019-01-10,1/10/19 3:03 PM,19-00028,cpd
Injured person transported by CFD EMS to UCMED for treatment,Medical,Closed,50th Pl. between Cornell & East End,2019-01-11,1/11/19 10:49 AM,19-00029,closed
Information relating to a confrontation with an unknown person,Information,Closed,5500 S. Ellis (Public Way),2019-01-10,1/10/19 3:07 PM,19-00030,closed
Victim was shot during the course of an argument with a known associate in an off campus private apartment / Suspect fled prior to police arrival / CPD case JC113053,Information,CPD,Drexel between 46th & 47th (Private Apartment),2019-01-11,1/11/19 3:08 PM,19-00031,cpd
A person was reported missing by a family member  / Notification made to CPD and other agencies,Missing Person,Open,850 E. 61st St. (UCPD HQ),2019-01-06,1/11/19 10:43 PM,19-00032,open
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1005 E. 60th St. (Burton-Judson RH),2019-01-12,1/12/19 1:46 AM,19-00033,referred
Sick person transported to UCMED for evaluation and treatment,Medical,Closed,5700 S. Stony Island (5700 Stony Island RH),2019-01-12,1/12/19 6:04 AM,19-00034,closed
A tire was taken from a bicycle secured to a bike rack,Theft,Open,5500 S. University (Campus North RH),2019-01-08,1/12/19 11:40 AM,19-00035,open
A person banned from campus was seen attending an event at the Logan Center / Individual left prior to notification to UCPD,Trespass,Closed,915 E. 60th St. (Logan Center),2019-01-12,1/12/19 9:55 PM,19-00036,closed
Staff member found suspect marijuana among a patient's possessions / Turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-01-13,1/13/19 1:21 AM,19-00037,closed
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS,Liquor Law Violation,Referred,1101 E. 56th St. (Max Palevsky RH),2019-01-13,1/13/19 1:26 AM,19-00038,referred
Number generated in error,Void,Void,Void,NA,Void,19-00039,void
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,969 E. 60th St. (SSA),2017-09-01,1/14/19 4:18 PM,CSA Report    19-001,referred
"An individual walking on the sidewalk off campus was grabbed by an unknown subject who forcibly attempted to take property from the victim / After a struggle, the suspect fled and was taken into custody by CPD officers / CPD case JC117196",Information,CPD/Arrest,1451 E. 52nd St. (Public Way),2019-01-14,1/14/19 10:07 PM,19-00040,arrested
Staff member found suspect narcotics in a patient's room / Substance turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-01-15,1/15/19 11:43 AM,19-00041,closed
Unknown suspect was observed leaving the caf� without paying for food,Theft,Open,5706 S. University (Reynolds Club),2019-01-15,1/15/19 12:05 PM,19-00042,open
UCPD officer detained an individual who had taken merchandise from the store without paying / Management declined to prosecute,Theft,Ex. Cleared,1346 E. 53rd St. (Target),2019-01-15,1/15/19 11:46 AM,19-00043,cleared
An individual became dizzy and fell into a door jamb resulting in a laceration to the forehead / Transported to UCMED by CFD EMS,Medical,Closed,5700 S. Stony Island (Stony Island RH),2019-01-15,1/15/19 7:31 PM,19-00045,closed
A purse and a cell phone found in the alley turned over to UCPD for safekeeping,Found Property,Closed,5722 S. Kenwood (Alley),2019-01-15,1/15/19 7:56 PM,19-00046,closed
"Two unknown suspects, armed with handguns, took property from two victims walking on the sidewalk off campus / Suspects fled to a waiting vehicle / CPD case JC118457",Information,CPD,5312 S. Cornell (Public Way),2019-01-15,1/15/19 10:44 PM,19-00047,cpd
"Two unknown suspects, armed with handguns, followed a victim into a private apartment building off campus and demanded his jacket / Suspects fled to a waiting vehicle after a witness appeared / CPD case JC118516",Information,CPD,Harper between 51st & 52nd,2019-01-16,1/16/19 12:45 AM,19-00048,cpd
"Unattended, unsecured wallet taken from unlocked car parked on the street off campus / Referred to CPD",Theft,CPD,5400 S. Kimbark (Public Way),2019-01-12,1/16/19 1:36 PM,19-00049,cpd
Staff member found three small plastic baggies of suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-01-16,1/16/19 9:09 PM,19-00050,closed
Staff member reported the loss of issued equipment,Lost Property,Closed,850 E. 61st St. (UCPD HQ),2019-01-13,1/16/19 11:00 PM,19-00051,closed
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,1330 E. 53rd St. (Vue 53),2019-01-17,1/17/19 12:44 AM,19-00052,referred
"In-car license plate reader notified UCPD officer of an unoccupied vehicle parked on the street that had been reported stolen in Dolton, IL / Turned over to Dolton PD",Assist Other Agency,Closed,5044 S. Drexel,2019-01-17,1/17/19 6:12 AM,19-00053,closed
Two unknown subjects forcibly took a wallet from a person walking on the sidewalk off campus / CPD case,Information,CPD,5400 S. Hyde Park,2019-01-17,1/17/19 6:27 PM,19-00054,cpd
Secured bicycle taken from bike rack,Theft,Open,1118 E. 58th ST. (Eckhart Bike Rack),2019-01-17,1/17/19 6:50 PM,19-00055,open
Unknown person(s) cut a chain and took contractor's pipe threading machine and a generator,Theft,Open,5840 S. Maryland (Parking Structure),2019-01-17,1/17/19 7:25 PM,19-00056,open
Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-01-17,1/17/19 9:44 PM,19-00057,closed
Staff member found several baggies of narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-01-18,1/18/19 9:44 AM,19-00058,closed
Investigation of harassing phone calls,Harassment,Open,850 E. 61st St. (UCPD HQ),2019-01-09,1/18/19 1:56 PM,19-00059,open
An individual was transported to the UCMED for evaluation,Mental Health,Closed,5500 S. Woodlawn (Public Way),2019-01-18,1/18/19 11:40 PM,19-00060,closed
Unknown suspects smashed the glass front door of an off campus business and took merchandise / CPD case JC122364,Information,CPD,53rd Street between Woodlawn and Kimbark (Business),2019-01-19,1/19/19 4:46 AM,19-00061,cpd
Unknown person placed a sticker on victim's unoccupied parked vehicle,Damage to Property,Open,5730 S. Ellis (Public Way),2019-01-08,1/19/19 1:48 PM,19-00062,open
Patient reports losing cell phone that was left in the bed while patient was out of the room,Lost Property,Closed,5700 S. Maryland (CCD),2019-01-18,1/19/19 3:44 PM,19-00063,closed
Unknown person placed stickers on victim's unoccupied parked vehicle,Damage to Property,Open,1027 E. 57th St. (Public Way),2019-01-15,1/19/19 1:48 PM,19-00064,open
"An unknown suspect, armed with a handgun, demanded property from a victim working on the street  off campus / A witness armed with a handgun, fired shots and the suspect fled to a waiting vehicle that sped off / CPD case JC122883",Information,CPD,5604 S. Harper (Public Way),2019-01-19,1/19/19 6:26 PM,19-00065,cpd
Person handed over a counterfeit $100 bill to UCPD officer / Property inventoried by UCPD,Found Property,Closed,5700 S. Drexel (Starbucks),2019-01-21,1/21/19 10:41 PM,19-00067,closed
"An individual riding a bicycle on the street off campus was approached by 3 suspects, one armed with a handgun / The suspects took the victim's property and fled to a waiting vehicle / CPD case JC125025",Information,CPD,5400 S. Drexel (Public Way),2019-01-22,1/22/19 12:41 AM,19-00068,cpd
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,1101 E. 56th St. (Max Palevsky RH),NA,1/22/19 9:01 AM,CSA Report    19-003,referred
Report of harassing telephone calls from an unknown person,Harassment,Open,5815 S. Maryland (Mitchell Hospital),2019-01-22,1/22/19 9:54 AM,19-00069,open
"CPD and UCPD officers responded to calls of shots fired on the street off campus at 851 East 63rd Street / Upon arrival, officers found two people had suffered gunshot wounds / Victims were transported to UCMED by CFD EMS / CPD case JC125324",Information,CPD,851 E. 63rd St. (Public Way),2019-01-22,1/22/19 10:35 AM,19-00070,cpd
"An individual walking, slipped on the icy sidewalk and fell striking her head on the pavement / CFD EMS transported the injured person to the hospital for treatment",Injury,Closed,1145 E. 58th St. (Sidewalk),2019-01-22,1/22/19 4:25 PM,19-00071,closed
Individual reported an unknown person shot him as he walked off campus / Individual later admitted to CPD that the gunshot wound was self-inflicted / CPD case JC126694,Information,CPD,6159 S. Cottage Grove (Alley),2019-01-23,1/23/19 12:18 PM,19-00072,cpd
"An unknown subject, armed with a handgun, approached a person walking on the sidewalk off campus and demanded money / The victim handed cash to the suspect as a second person approached / The suspect demanded and took cash from the second person as well, before fleeing on foot / CPD case JC127341",Information,CPD,5136 S. Dorchester (Public Way),2019-01-23,1/23/19 8:03 PM,19-00075,cpd
An unauthorized subject was arrested by UCPD officer after ignoring repeated warnings that he was trespassing,Trespass,Arrest,5656 S. Maryland (UCMED),2019-01-24,1/24/19 2:13 AM,19-00076,arrested
Information documenting unauthorized use of a computer,Information,Closed,924 E. 57th St. (BSLC),2019-01-24,1/24/19 12:04 PM,19-00077,closed
An argument between mother and daughter became physical with both parties striking the other / Prosecution declined,Battery,Ex. Cleared,5700 S. Maryland (CCD),2019-01-25,1/25/19 9:47 AM,19-00078,cleared
Victim's cell phone and attached card holder taken by unknown person / Subsequent unauthorized use of credit card reported,Theft,Open,900 E. 57th St. (Knapp Center),2019-01-24,1/25/19 11:32 AM,19-00079,open
"Suspect, armed with a handgun, took two necklaces from two victims walking on the street off campus / CPD case JC129886",Information,CPD,5411 S. Woodlawn (Public Way),2019-01-25,1/25/19 9:25 PM,19-00080,cpd
"Unknown person used a sharp object to scratch (""key"") doors of a car parked at the curb",Damage to Property,Open,5656 S. Drexel (Public Way),2019-01-18,1/25/19 10:06 PM,19-00081,open
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD Ems for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2019-01-25,1/25/19 10:34 PM,19-00082,referred
Patient threatened staff member with bodily harm / Suspect left before UCPD was notified,Assault,Open,800 E. 55th St. (Friend Center),2019-01-26,1/26/19 11:43 AM,19-00083,open
Suspect displayed a handgun and took cash from a victim on the street off campus and fled / UCPD officers located and detained the suspect / Handgun recovered by UCPD / Suspect turned over to CPD and charged with armed robbery / CPD case JC130422,Information,CPD,5700 S. Harper (Public Way),2019-01-26,1/26/19 12:40 PM,19-00084,cpd
"During an argument, one subject threatened the other with bodily harm / Victim declined prosecution",Assault,Ex. Cleared,5721 S. Maryland (Comer Hospital),2019-01-26,1/26/19 4:28 PM,19-00085,cleared
Underage individual became ill after consuming alcoholic beverages / Examined on scene by CFD EMS,Liquor Law Violation,Referred,5500 S. University (Campus North RH),2019-01-27,1/27/19 12:53 AM,19-00086,referred
