Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
1/4/2019 9:14 PM,Name checked; released; no further action,Male,UCPD,5225 Harper,African American,Matched description of a previous robbery offender.,No
1/10/2019 3:18 PM,Name checked; released; no further action,Male,UCPD,5630 S Cottage Grove,African American,"Subject observed continuously walking up to several female citizens, asking questions, making citizens feel nervous",No
1/10/2019 3:18 PM,Name checked; released; no further action,Female,UCPD,5630 S Cottage Grove,African American,"Subject observed continuously walking up to several female citizens, asking questions, making citizens feel nervous",No
1/11/2019 10:33 AM,Name checked; released; no further action,Male,UCPD,5300 S Ellis,African American,"Subject observed walking around area, thru alleys, up and down blocks, w/o true destination, matched description of subject involved in robbery, in same area",No
1/12/2019 7:45 AM,Name checked; released; no further action,Male,UCPD,5600 S Hyde Park,African American,Subject fit the physical description and was in the area of a burglary that just occurred (call for service over Zone 5 radio) on 55th Street.,No
1/12/2019 3:11 PM,Name checked; released; no further action,Male,UCPD,4600 S Drexel,African American,Subject fit the physical description of an offender involved in an aggravated battery. Subject was observed fleeing from area prior to being stopped,No
1/20/2019 11:40 PM,Name checked; released; no further action,Male,UCPD,5700 Harper,African American,Observed subject rummaging through a vehicle,No
1/22/2019 11:56 AM,Name checked; show up conducted; released,Male,Citizen request for UCPD Response,1221 E 51st,African American,Subject matched the physical/clothing description and was in proximity of a retail theft that just occurred. Show up conducted with negative results,No
1/22/2019 11:56 AM,Name checked; show up conducted; released,Male,Citizen request for UCPD Response,1221 E 51st,African American,Subject matched the physical/clothing description and was in proximity of a retail theft that just occurred. Show up conducted with negative results,No
1/26/2019 12:41 PM,"Arrested by CPD, UCPD FCC completed.",Male,Citizen request for UCPD Response,5840 S. Stony Island,African American,Subject matched the physical description of an offender in an armed robbery at 5700 S. Stony. Show up was conducted and subject positively identified by victim as the subject who robbed him.,Yes
1/27/2019 7:24 PM,Name checked; released; no further action,Male,UCPD,5215 S. Ingleside,African American,Passenger in vehicle observed repeatedly circling within the robbery mission area in a manner consistent with possibly canvassing for potential victims,No
1/27/2019 7:24 PM,Name checked; released; no further action,Male,UCPD,5215 S. Ingleside,African American,Passenger in vehicle observed repeatedly circling within the robbery mission area in a manner consistent with possibly canvassing for potential victims,No
2/5/2019 7:22 PM,Name checked; released to parent; no further actio,Male,Citizen request for UCPD Response,5500 S WOODLAWN,African American,Subject matched physical and clothing description of a reported retail theft offender,No
2/10/2019 8:41 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5600 S Lake Park,African American,Subject fit the physical description and was in close proximity to a report of a male subject attempting to steal a bike,No
2/14/2019 8:57 AM,Name checked; trespass warning issued; released,Male,Citizen request for UCPD Response,5505 S Ellis,African American,Responded to a call of subject sleeping in vestibule preventing elevator from being used,No
2/16/2019 11:09 PM,Name checked; released; no further action,Male,UCPD,5100 Cottage,African American,CPD broadcast over Zone 5 radio of two suspicious person jumping over a fence. Unit observed two subjects in question and detained for CPD.,No
2/18/2019 3:57 PM,Name checked; released; no further action,Male,Citizen request for UCPD response,1105 E 55th Street,African American,Subject fit the physical description of an offender described by caller and was in close proximity of where the attempt theft occurred,No
2/18/2019 3:57 PM,Name checked; released; no further action,Male,Citizen request for UCPD response,1105 E 55th Street,African American,Subject fit the physical description of an offender described by caller and was in close proximity of where the attempt theft occurred,No
3/1/2019 11:40 AM,Name checked; referred to CPD,Male,UCPD,1325 E 52nd,African American,"Subjects observed leaving area of shots fired, matched description",Yes
3/2/2019 10:23 AM,Name checked; released (under 10 grams),Male,UCPD,1600 E 53rd St,African American,Subject observed smoking cannabis in plain view,Yes
3/2/2019 2:49 PM,Name checked; juvenile released to family member,Male,UCPD,6120 S University,African American,Subject observed tampering with packages in front of residence,Yes
3/8/2019 4:40 PM,Name checked; released; no further action,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
3/8/2019 4:40 PM,Name checked; released; no further action,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
3/8/2019 4:40 PM,Name checked; released; no further action,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
3/8/2019 4:40 PM,Name checked; released; no further action,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
3/8/2019 4:40 PM,Name checked; released; no further action,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
3/12/2019 7:46 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5505 Ellis (Parking structure),African American,Juvenile looking into vehicles where thefts have been occurring,No
3/18/2019 4:22 PM,Name checked; released; no further action,Female,Citizen request for UCPD Response,6400 S University,African American,Subject was selling food to Charter School students on city property without proper license,No
3/18/2019 4:33 PM,Name checked; released; no further action,Male,UCPD,5100 S Ellis,African American,Subject fit the physical description of suspect involved in theft from persons and was in the proximity of where recent thefts/burglaries have ocurred. Subject was walking with no clear direction and was avoiding police contact.,No
3/23/2019 4:12 PM,Name checked; released; no further action,Male,UCPD,5700 S Woodlawn,African American,Subject fit description of a theft offender from the bookstorea nd was carrying a blue bag consistent with the one described by the victim taken in the theft.,Yes
4/2/2019 4:32 PM,Name checked; referred to CPD,Male,Citizen request for UCPD Response,1028 E 51st Street,African American,Subject stopped after exiting a vehicle with a shattered window that matched the description involved in a shots fired call by CPD. Subject explained his vehicle was shot at. CPD responded and provided a CDTP report to the subject reference damage sustained to his vehicle.,No
4/3/2019 10:47 PM,Name checked; released to parent,Male,UCPD,5600 University,African American,Teens pulling on door car handles,Yes
4/3/2019 10:47 PM,Name checked; released to parent,Male,UCPD,5600 University,African American,Teens pulling on door car handles,Yes
4/3/2019 11:47 PM,Name checked; consensual search conducted; release,Male,UCPD,5540 Woodlawn,African American,Officer while on a robbery mission observed a vehicle pull to the side of the road where several citizens were standing. Officer pulled over to observe when the driver began to reverse. Investigatory stop conducted.  During stop officer smelled cannabis. Consensual search conducted of driver and vehicle with negative results.,Yes
4/4/2019 5:04 AM,Name checked; released; no further action,Male,UCPD,6000 Kenwood,African American,Officer observed subject walking back and forth by a construction site where thefts have occurred.,No
4/8/2019 12:30 PM,Name checked; released; no further action,Male,UCPD,5312 S Maryland,African American,"Matched description of recent burglary offender, in area",No
4/16/2019 2:47 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5500 S Dorchester,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
4/16/2019 2:47 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5500 S Dorchester,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
4/16/2019 2:47 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5500 S Dorchester,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
4/16/2019 3:13 PM,Name checked; arrested by CPD,Male,Citizen request for UCPD Response,1418 E 53rd,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
4/16/2019 3:13 PM,Name checked; arrested by CPD,Male,Citizen request for UCPD Response,1418 E 53rd,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
4/16/2019 3:13 PM,Name checked; arrested by CPD,Male,Citizen request for UCPD Response,1418 E 53rd,African American,Assisted CPD with the contact of this subject reference an aggravated assault to a private tow truck driver,No
4/17/2019 1:37 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5107 S Blackstone,African American,Subject matched description of possible trespass offender,No
4/18/2019 8:42 PM,Name checked; released; no further action,Male,UCPD,5328 S Ellis Ave,African American,Subject fit the description of recent robbery offenders. Further investigation revealed no suspicious activity.,No
4/19/2019 10:59 AM,Name checked; arrested by CPD,Male,UCPD,5100 S Greenwood,African American,FBI agents contacted CPD in regards to subject trespassing on property. Upon arrival CPD took subject into custody for CTTL,No
4/19/2019 10:59 AM,Name checked; arrested by CPD,Male,UCPD,5100 S Greenwood,African American,FBI agents contacted CPD in regards to subject trespassing on property. Upon arrival CPD took subject into custody for CTTL,No
4/20/2019 9:11 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 S Stony Island,African American,"Call into ECC in regards to M/B subject who has been observed in the area, possibly involved in thefts and a purse snatch",No
4/20/2019 11:50 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1323 E 61st Street,African American,"Citizen advised that a suspicious vehicle had been sitting in front of her house for 15 mins, causing concern for the home owner. Upon pulling up, the vehicle attempted to pull off",No
4/23/2019 11:43 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5600 Ellis,African American,"Call from citizen over Zone 5 radio Man W/ gun. Units observed vehicle matching description. Stop conducted/consensual search of driver, passenger and vehicle.",Yes
4/23/2019 11:43 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5600 Ellis,African American,"Call from citizen over Zone 5 radio Man W/ gun. Units observed vehicle matching description. Stop conducted/consensual search of driver, passenger and vehicle.",Yes
4/24/2019 12:30 AM,Name checked; released; no further action,Male,UCPD,5700 Dorchester,Caucasian,Open alcohol in public (alcohol disposed of),No
4/24/2019 1:57 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,950 E 61st Street,African American,Subject was identified by a witness on scene as a suspect who may have taken a package from an apartment vestibule. Subject was not in possession of stolen property.,No
4/25/2019 4:34 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5451 S Hyde Park Blvd,Hispanic,Subject matched physical and clothing description provided via CPD Zone 5 radio where caller reported observing a suspicious ind. pulling car door handles.,Yes
4/26/2019 7:38 PM,Name checked; released; no further action,Male,UCPD,1169 E 56th St,African American,Fit the description of an individual who attempted to gain entry into a church,No
4/26/2019 9:49 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5000 S Drexel Ave,African American,Call from citizen who observed a male push a female into his car and drive away. Units observed vehicle matching description. Stop conducted with further revealing no crime occurred.,No
4/29/2019 3:00 PM,Name checked; released to parent,Male,UCPD,1307 E 60th Street,African American,"Juv subject identified by witness who he observed inside of a vehicle, which was found later to be ransack. Property found on subject identified by vehicle owner, who signed refusal",Yes
4/29/2019 3:00 PM,Name checked; released to parent,Male,UCPD,1307 E 60th Street,African American,"Juv subject identified by witness who he observed inside of a vehicle, which was found later to be ransack. Property found on subject identified by vehicle owner, who signed refusal",Yes
5/1/2019 6:15 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5400 Woodlawn,African American,Citizen complained that a subject was asking for money,No
5/7/2019 4:21 PM,Name checked; released; no further action,Male,UCPD,1100 E 57th Street,African American,Subject observed checking the area of the Bike Racks (3-4 times) in bicycle theft hot spot area,No
5/10/2019 1089,Issued citation for illegal use of specialty plate,Male,UCPD,5300 S Harper,African American,"While on robbery mission, unit observed suspicious auto with TX dealer plate, parked on corner",No
5/13/2019 11:19 PM,Name checked & released w/ no further action.,Male,Citizen request for UCPD Response,6031 S. Ellis,African American,Unaffiliated juvenile was observed suspiciously loitering near bike rack.,No
5/13/2019 11:19 PM,Name checked & released w/ no further action.,Male,Citizen request for UCPD Response,6031 S. Ellis,African American,Unaffiliated juvenile was observed suspiciously loitering near bike rack.,No
5/21/2019 3:33 PM,Name checked; released; no further action,Male,UCPD,4900 S. Greenwood,African American,Subject was canvassing the area near a motorcycle (mc) and removed the mc cover from the parked vehicle,No
5/21/2019 3:33 PM,Name checked; released; no further action,Male,UCPD,4900 S. Greenwood,African American,Subject was canvassing the area near a motorcycle (mc) and removed the mc cover from the parked vehicle,No
5/21/2019 9:35 PM,Released; no further action,Male,UCPD,5100 S. Ingleside,African American,Unit detained subject that matched a description wanted by CPD. Investigation revealed negative results.,No
5/21/2019 11:20 PM,Name check; released with Trespass Warning,Male,UCPD,5505 S. Ellis,African American,Observed inside the Ellis Garage w/out cause & smoking marijuana,Yes
5/21/2019 11:20 PM,Name check; released with Trespass Warning,Male,UCPD,5505 S. Ellis,African American,Observed inside the Ellis Garage w/out cause & smoking marijuana,Yes
5/21/2019 11:20 PM,Name check; released with Trespass Warning,Male,UCPD,5505 S. Ellis,African American,Observed inside the Ellis Garage w/out cause & smoking marijuana,Yes
5/31/2019 12:05 AM,"Clear LEADS, Released",Male,UCPD,1525 E 60th,African American,Subject was in the immediate area of where a robbery had just occurred,Yes
5/31/2019 3:20 AM,"Clear LEADS, Released",Male,UCPD,1500 E Midway Plaisance,African American,Subject was in the immediate area of where a robbery had previously occurred,No
5/31/2019 3:20 AM,"Clear LEADS, Released",Male,UCPD,1500 E Midway Plaisance,African American,Subject was in the immediate area of where a robbery had previously occurred,No
5/31/2019 3:20 AM,"Clear LEADS, Released",Male,UCPD,1500 E Midway Plaisance,African American,Subject was in the immediate area of where a robbery had previously occurred,No
5/31/2019 3:20 AM,"Clear LEADS, Released",Male,UCPD,1500 E Midway Plaisance,African American,Subject was in the immediate area of where a robbery had previously occurred,No
6/4/2019 9:13 PM,"Clear leads, released",Male,Citizen request for UCPD Response,5700 Kimbark,African American,Citizen called and stated an unknown male black was walking back and forth in the alley.,No
Date Time,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
6/15/2019 4:20 PM,Name checked; released; no further action,Male,UCPD,5500 S. University,African American,"Subject stopped in front of squad car and
attempted to open door. Subject suffers
from mental illness (hospitalization not
required at this time).",No
Date Time,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
6/18/2019 5:05 PM,"Checked clear, issued trespass warning",Male,Citizen request for UCPD Response,929 E 57th St,African American,"Subject observed inside keycard access building, taking food items, no victims located at this time.",Yes
6/21/2019 1:16 PM,Arrested by UCPD,Male,Citizen request for UCPD Response,1101 E 56th St,African American,Matched description of theft offender,Yes
6/21/2019 1:24 PM,Arrested by UCPD,Male,Citizen request for UCPD Response,5740 E 57th St,African American,Matched description of theft offender,Yes
6/21/2019 1:25 PM,Released after investigation,Male,Citizen request for UCPD Response,5700 Drexel,African American,Matched description of theft offender,Yes
6/26/2019 9:09 PM,"Clear LEADS, released",Male,UCPD,5530 S. Ellis,African American,Officer observed vehicle parked in a tow zone without lights on vehicle in an area where two robberies have occurred.,No
6/30/2019 2:03 PM,"Name checked, released; no further action",Male,Citizen request for UCPD Response,5721 S Maryland Ave.,African American,"During a Domestic Disturbance call, female caller advised that the subject took her cellular phone. Subject consented to a search for the phone, with negative results",Yes
7/6/2019 3:48 AM,Clear LEADS/Released vehicle to passenger to drive,Male,UCPD,1700 E 55th,Caucasian,Driver traveling at slow rate of speed attempting to evade officer. Stop conducted and driver found to not have a valid license.,No
7/10/2019 4:09 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1120 E. 58th Street,African American,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,No
7/10/2019 4:09 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1120 E. 58th Street,African American,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,No
7/10/2019 4:09 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1120 E. 58th Street,African American,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,No
7/10/2019 4:09 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1120 E. 58th Street,African American,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,No
7/18/2019 1:05 PM,Name checked; Arrested by UCPD,Male,UCPD,5130 S Lake Park Ave,African American,Known bike theft offender observed riding one bike and carrying another. Subject admitted bike did not belong to him.,Yes
7/31/2019 12:03 PM,"Name checked, Arrested",Male,UCPD,5812 S Ellis,African American,Subject was stopped after attempting to steal a bike and was identified as an offender wanted on signed complaints for a bike theft that occurred on 11 July 2019,Yes
8/4/2019 2:28 AM,"Clear LEADS, negative on show-up released.",Male,UCPD,5525 ELLIS,African American,Subject match description of battery offender,No
8/4/2019 8:34 PM,Clear LEADS/ Released,Male,Citizen request for UCPD Response,1220 E 57th,African American,Causing disturbance/possession of possible stolen bike parts.,No
8/5/2019 4:43 PM,Name checked; released with verbal warning,Male,Citizen request for UCPD Response,5751 S Woodlawn,African American,Subject was reportedly panhandling and disrupting customers at said location,No
8/7/2019 10:26 AM,"Name checked clear, released on scene",Male,UCPD,6200 S Drexel Ave,African American,"Observed subject carrying item in alley-way looking around, checking the area on two separate occasions",No
8/11/2019 9:48 PM,"Name checked, released & w/no further action.",Male,UCPD,5300 S. Kimbark,African American,"On-viewed suspicious subjects riding one bike while holding a second bike, activity known to be associated with bike thefts.",No
8/18/2019 8:04 PM,Clear LEADS/Released,Male,UCPD,5000 Greenwood,African American,"Occupied suspicious vehicle, when license plate ran thru LEADS came back with a hit for wanted. Further investigation showed the wanted to be a different person.",No
8/19/2019 1:53 PM,"Name checked, released & w/no further action.",Male,UCPD,5700 S. Dorchester,African American,Officer observed the subject briefly approaching people and when he saw the officer quickly he crossed the street to walk away. Subject was wearing a hooded sweatshirt in 80 degree temperature with the hood up and matched the general descriptiaon of recent robbery offender(s).,No
8/19/2019 5:14 PM,"Name checked, released & w/no further action.",Male,UCPD,5700 S. Ellis,African American,Subject matched the description of the subject approaching people from behind,No
8/27/2019 9:41 AM,"name checked clear, issued written trespass warnin",Male,Citizen request for UCPD Response,970 E. 58th Street,African American,observed attempting to conceal book inside store,No
9/8/2019 9:28 PM,"Name checked, released to parent; no further actio",Male,Citizen request for UCPD Response,1451 E. 55th Street,African American,Loitering,No
