Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
2019-01-04T21:14:00Z,released,Male,UCPD,5225 Harper,African American,Matched description of a previous robbery offender.,No
2019-01-10T15:18:00Z,released,Male,UCPD,5630 S Cottage Grove,African American,"Subject observed continuously walking up to several female citizens, asking questions, making citizens feel nervous",No
2019-01-10T15:18:00Z,released,Female,UCPD,5630 S Cottage Grove,African American,"Subject observed continuously walking up to several female citizens, asking questions, making citizens feel nervous",No
2019-01-11T10:33:00Z,released,Male,UCPD,5300 S Ellis,African American,"Subject observed walking around area, thru alleys, up and down blocks, w/o true destination, matched description of subject involved in robbery, in same area",No
2019-01-12T07:45:00Z,released,Male,UCPD,5600 S Hyde Park,African American,Subject fit the physical description and was in the area of a burglary that just occurred (call for service over Zone 5 radio) on 55th Street.,No
2019-01-12T15:11:00Z,released,Male,UCPD,4600 S Drexel,African American,Subject fit the physical description of an offender involved in an aggravated battery. Subject was observed fleeing from area prior to being stopped,No
2019-01-20T23:40:00Z,released,Male,UCPD,5700 Harper,African American,Observed subject rummaging through a vehicle,No
2019-01-22T11:56:00Z,released,Male,citizen,1221 E 51st,African American,Subject matched the physical/clothing description and was in proximity of a retail theft that just occurred. Show up conducted with negative results,No
2019-01-22T11:56:00Z,released,Male,citizen,1221 E 51st,African American,Subject matched the physical/clothing description and was in proximity of a retail theft that just occurred. Show up conducted with negative results,No
2019-01-26T12:41:00Z,arrested,Male,citizen,5840 S. Stony Island,African American,Subject matched the physical description of an offender in an armed robbery at 5700 S. Stony. Show up was conducted and subject positively identified by victim as the subject who robbed him.,Yes
2019-01-27T19:24:00Z,released,Male,UCPD,5215 S. Ingleside,African American,Passenger in vehicle observed repeatedly circling within the robbery mission area in a manner consistent with possibly canvassing for potential victims,No
2019-01-27T19:24:00Z,released,Male,UCPD,5215 S. Ingleside,African American,Passenger in vehicle observed repeatedly circling within the robbery mission area in a manner consistent with possibly canvassing for potential victims,No
2019-02-05T19:22:00Z,released,Male,citizen,5500 S WOODLAWN,African American,Subject matched physical and clothing description of a reported retail theft offender,No
2019-02-10T08:41:00Z,released,Male,citizen,5600 S Lake Park,African American,Subject fit the physical description and was in close proximity to a report of a male subject attempting to steal a bike,No
2019-02-14T08:57:00Z,released,Male,citizen,5505 S Ellis,African American,Responded to a call of subject sleeping in vestibule preventing elevator from being used,No
2019-02-16T23:09:00Z,released,Male,UCPD,5100 Cottage,African American,CPD broadcast over Zone 5 radio of two suspicious person jumping over a fence. Unit observed two subjects in question and detained for CPD.,No
2019-02-18T15:57:00Z,released,Male,citizen,1105 E 55th Street,African American,Subject fit the physical description of an offender described by caller and was in close proximity of where the attempt theft occurred,No
2019-02-18T15:57:00Z,released,Male,citizen,1105 E 55th Street,African American,Subject fit the physical description of an offender described by caller and was in close proximity of where the attempt theft occurred,No
2019-03-01T11:40:00Z,referred,Male,UCPD,1325 E 52nd,African American,"Subjects observed leaving area of shots fired, matched description",Yes
2019-03-02T10:23:00Z,released,Male,UCPD,1600 E 53rd St,African American,Subject observed smoking cannabis in plain view,Yes
2019-03-02T14:49:00Z,released,Male,UCPD,6120 S University,African American,Subject observed tampering with packages in front of residence,Yes
2019-03-08T16:40:00Z,released,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
2019-03-08T16:40:00Z,released,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
2019-03-08T16:40:00Z,released,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
2019-03-08T16:40:00Z,released,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
2019-03-08T16:40:00Z,released,Male,UCPD,5100 S Ellis,African American,UCPD Sgt. Observed subjects throwing items at passing bus. No complaints to be signed.,No
2019-03-12T19:46:00Z,released,Male,citizen,5505 Ellis (Parking structure),African American,Juvenile looking into vehicles where thefts have been occurring,No
2019-03-18T16:22:00Z,released,Female,citizen,6400 S University,African American,Subject was selling food to Charter School students on city property without proper license,No
2019-03-18T16:33:00Z,released,Male,UCPD,5100 S Ellis,African American,Subject fit the physical description of suspect involved in theft from persons and was in the proximity of where recent thefts/burglaries have ocurred. Subject was walking with no clear direction and was avoiding police contact.,No
2019-03-23T16:12:00Z,released,Male,UCPD,5700 S Woodlawn,African American,Subject fit description of a theft offender from the bookstorea nd was carrying a blue bag consistent with the one described by the victim taken in the theft.,Yes
2019-04-02T16:32:00Z,referred,Male,citizen,1028 E 51st Street,African American,Subject stopped after exiting a vehicle with a shattered window that matched the description involved in a shots fired call by CPD. Subject explained his vehicle was shot at. CPD responded and provided a CDTP report to the subject reference damage sustained to his vehicle.,No
2019-04-03T22:47:00Z,released,Male,UCPD,5600 University,African American,Teens pulling on door car handles,Yes
2019-04-03T22:47:00Z,released,Male,UCPD,5600 University,African American,Teens pulling on door car handles,Yes
