Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,9/10/2015 9:48 AM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Dorchester,Caucasian,Failure To Stop At Stop Sign,NO
N/A,9/10/2015 10:31 AM,Verbal Warning,Male,Moving Violation - Other,E/B Midway Plaisance & Cornell,African American,Speeding in School /Construction zone,NO
N/A,9/12/2015 9:30 PM,Verbal Warning,Male,Lane Violation,6000 Dorchester,African American,Wrong way on one way road,Yes
N/A,9/15/2015 7:47 PM,Verbal Warning,Female,Traffic Sign/Signal,1362 E 58th,African American,Failure to yield to pedestrian in crosswalk,No
N/A,9/17/2015 8:06 PM,Verbal Warning,Male,Lane Violation,5300 Dorchester,African American,Wrong way on one way street,No
N/A,9/21/2015 2:09 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,Hispanic,Failure to yield to pedestrian in crosswalk,No
N/A,9/22/2015 10:13 AM,Verbal Warning,Male,Speed,5945 S Ellis,African American,Speeding,No
N/A,9/22/2015 3:21 PM,Verbal Warning,Female,Speed,1000 E Midway Plaisance,African American,Speeding,No
N/A,9/22/2015 3:37 PM,Verbal Warning,Male,Speed,800 E Midway Plaisance,African American,Speeding,No
N/A,9/23/2015 10:04 AM,Verbal Warning,Female,Speed,5900 Payne Dr,African American,Speeding,No
N/A,9/24/2015 9:00 AM,Verbal Warning,Male,Speed,5900 Payne Dr,African American,Speeding,No
N/A,9/28/2015 8:43 AM,Verbal Warning,Female,Speed,Midway and Cottage Grove,African American,Speeding,No
N/A,9/28/2015 9:05 AM,Verbal Warning,Male,Speed,5900 Payne Dr,Caucasian,Speeding,No
N/A,9/29/2015 8:53 AM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Cottage Grove,Caucasian,Failure to yield to pedestrian in crosswalk,No
N/A,10/1/2015 9:42 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 Hyde Park,Asian,Ran stop sign,No
1 citation issued,10/2/2015 5:13 PM,Citation Issued,Male,Lane Violation,930 E 55th,Caucasian,Improper passing/overtaking,No
N/A,10/6/2015 4:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
