Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,2019-01-02T22:17:00Z,Warning,Male,Traffic Sign/Signal,1463 E 53rd,African American,Stop Sign Violation,No
One Citation Issued,2019-01-04T07:11:00Z,Citation,Male,moving violation,6100 S. Woodlawn,African American,Safety hazard - improper parking on roadway,No
N/A,2019-01-04T15:35:00Z,Warning,Male,Traffic Sign/Signal,5400 S. Lake Park,African American,Disobey traffic control device,No
N/A,2019-01-04T18:18:00Z,Warning,Male,Lane Violation,924 E 57th,Caucasian,Driving in Main Quad on walk way,No
N/A,2019-01-04T21:52:00Z,Warning,Female,Lane Violation,5600 Ellis,African American,Wrong way on a one way,No
N/A,2019-01-05T13:25:00Z,Warning,Female,Traffic Sign/Signal,5500 S. University,African American,Disobey traffic control device,No
N/A,2019-01-05T17:35:00Z,Warning,Male,Lane Violation,5401 Greenwood,Caucasian,Wrong way on one way,No
N/A,2019-01-05T18:51:00Z,Warning,Male,Lane Violation,5400 Ridgewood Court,African American,Wrong way on one way,No
N/A,2019-01-05T19:41:00Z,Warning,Male,Lane Violation,5200 Dorchester,Caucasian,Wrong way on one way,No
N/A,2019-01-05T21:37:00Z,Warning,Female,Traffic Sign/Signal,4900 Woodlawn,Caucasian,Failed to stop at sign,No
One Citation Issued,2019-01-06T16:40:00Z,Citation,Male,Traffic Sign/Signal,5300 S Ellis,African American,Traffic Light Violation,No
N/A,2019-01-06T20:05:00Z,Warning,Female,Lane Violation,5100 Drexel,African American,Improper Passing,No
N/A,2019-01-06T20:23:00Z,Warning,Male,Lane Violation,5500 Cottage,African American,Driving across center line,No
N/A,2019-01-06T08:36:00Z,Warning,Female,Lane Violation,5600 Stony,African American,Improper Passing,No
N/A,2019-01-08T14:21:00Z,Warning,Female,Traffic Sign/Signal,1100 E 53rd St,African American,Disobeying Traffic Control Device,No
N/A,2019-01-08T21:55:00Z,Warning,Male,Traffic Sign/Signal,5600 S Lake Park,African American,Stop Sign Violation,No
N/A,2019-01-08T22:18:00Z,Warning,Male,Traffic Sign/Signal,5100 S Lake Park,African American,Stop Sign Violation,No
N/A,2019-01-08T22:37:00Z,Warning,Male,Traffic Sign/Signal,5600 S Lake Park,African American,Stop Sign Violation,No
One Citation Issued,2019-01-09T05:04:00Z,Citation,Female,Traffic Sign/Signal,5700 S Cornell,African American,Red Light Violation,No
N/A,2019-01-09T18:36:00Z,Warning,Male,Traffic Sign/Signal,1624 E 55th,African American,Failed to stop at signal,No
N/A,2019-01-09T19:24:00Z,Warning,Male,speed,5200 Lake Park,African American,Speeding,No
N/A,2019-01-09T20:52:00Z,Warning,Male,Traffic Sign/Signal,5500 Greenwood,African American,Failed to stop at signal,No
N/A,2019-01-09T22:56:00Z,Warning,Female,Traffic Sign/Signal,5100 Woodlawn,African American,Failed to stop at signal,No
N/A,2019-01-10T05:07:00Z,Warning,Male,Lane Violation,1400 Midway Plaisance,African American,Lane violation,No
N/A,2019-01-10T10:17:00Z,Warning,Female,Lane Violation,5700 S. Harper,Caucasian,Driving down one-way,No
N/A,2019-01-10T14:59:00Z,Warning,Male,Traffic Sign/Signal,5610 S. Ellis,Caucasian,Disobey stop sign,No
N/A,2019-01-10T17:50:00Z,Warning,Male,Traffic Sign/Signal,5300 Kimbark,African American,Failed to stop at sign,No
N/A,2019-01-10T19:48:00Z,Warning,Male,Equipment,5600 Lake Park,Caucasian,No Headlights,No
N/A,2019-01-10T20:42:00Z,Warning,Male,Equipment,5500 Ellis,African American,No Headlights,No
N/A,2019-01-10T22:29:00Z,Warning,Female,Lane Violation,5400 Lake Park,African American,Weaving in traffic,No
N/A,2019-01-10T22:52:00Z,Warning,Female,Lane Violation,1200 Madison Park,Hispanic,No turn signal,No
N/A,2019-01-10T23:49:00Z,Warning,Male,Lane Violation,4800 Dorchester,African American,Weaving in traffic,No
N/A,2019-01-11T07:32:00Z,Warning,Female,Traffic Sign/Signal,5600 S. Woodlawn  Ave.,African American,"Ran thru a solid red circular traffic
light",No
N/A,2019-01-11T10:08:00Z,Warning,Male,Traffic Sign/Signal,860 E. 59th St.,Caucasian,Ran thru stop sign at high rate of speed,No
N/A,2019-01-11T17:20:00Z,Warning,Female,Traffic Sign/Signal,1000 E. Midway Plaisance,African American,Ran thru a stop sign w/o stopping,No
N/A,2019-01-11T23:45:00Z,Warning,Male,Lane Violation,1658 E. 55th Street,African American,Improper Turn,No
N/A,2019-01-12T05:55:00Z,Warning,Male,Traffic Sign/Signal,5450 S. Hyde Park Blvd.,African American,Stop Sign Violation,No
N/A,2019-01-12T17:08:00Z,Warning,Male,moving violation,850 E. 61st Street,Caucasian,"Failure to Yield to Emergency
Vehicle",No
