,Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
0,1/18/2017 9:25 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,901 E MIDWAY PLAISANCE,African American,Domestic Disturbance,No
1,1/18/2017 9:25 AM,Name checked; released; no further action,Female,Citizen request for UCPD Response,901 E MIDWAY PLAISANCE,African American,Domestic Disturbance,No
2,1/22/2017 12:36 AM,Name checked; released to parent; no further actio,Male,Citizen request for UCPD Response,5300 S Ingleside,African American,Suspicious person,No
3,2/7/2017 10:34 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5739 S WOODLAWN,African American,Suspicious Person,No
4,2/11/2017 12:30 PM,Name checked; package returned to owner; released,Male,UCPD,4800 S KIMBARK,African American,Officer observed subject take package from a residence,No
5,2/12/2017 9:19 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1420 E 49th,African American,Suspicious person,Yes
6,2/12/2017 9:19 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1420 E 49th,African American,Suspicious person,Yes
7,2/12/2017 9:19 PM,Name checked; released; no further action,Female,Citizen request for UCPD Response,1420 E 49th,African American,Suspicious person,No
8,2/12/2017 9:19 PM,Name checked; released; no further action,Female,Citizen request for UCPD Response,1420 E 49th,African American,Suspicious person,No
9,2/14/2017 8:53 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,6100 S University,African American,Suspicious person,No
10,2/22/2017 5:12 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,4938 S Drexel,African American,Suspicious person,No
11,2/22/2017 7:56 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5500 S Drexel,African American,Suspicious person,No
12,3/5/2017 11:07 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,6100 S Evans,African American,Suspicious person,No
13,3/10/2017 3:29 PM,Name checked; complaint refused; subject banned fr,Female,Citizen request for UCPD Response,1333 E 57th,Caucasian,Suspicious person,Yes
14,3/10/2017 9:51 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5700 Maryland,African American,Suspicious person,Yes
15,3/22/2017 4:59 PM,Name checked; warning issued; released,Male,Citizen request for UCPD Response,5800 S Maryland,African American,Suspicious person,No
16,3/25/2017 1:13 PM,Name checked; released; no further action,Male,UCPD,6300 S Woodlawn,African American,Suspicious person,No
17,3/27/2017 1:49 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5640 S Ellis,African American,Suspicious person,No
18,3/29/2017 4:37 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,4500 S Drexel,African American,Suspicious person,Yes
19,3/29/2017 11:12 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5900 Maryland,African American,Suspicious person,Yes
20,4/26/2017 10:57 PM,Name checked; released; no further action,Male,UCPD,5700 University,African American,Suspicious person,No
21,4/28/2017 11:16 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5234 Blackstone,African American,Suspicious person,Yes
22,4/28/2017 11:16 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5234 Blackstone,African American,Suspicious person,Yes
23,4/28/2017 11:16 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5234 Blackstone,African American,Suspicious person,Yes
24,5/2/2017 1:36 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5336 S Drexel,African American,Domestic disturbance,Yes
25,5/21/2017 8:27 AM,Name checked; released; no further action,Male,UCPD,5700 S Lake Shore,African American,Peddling on roadway,No
26,5/27/2017 11:44 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,700 E Russell Dr.,African American,Subject matched description of suspicious person reported by UCMC staff,No
27,6/8/2017 3:05 PM,Name checked; released; no further action,Male,UCPD,4700 S Lake Park,African American,Subject obstructing traffic on a roadway,No
28,6/13/2017 2:11 AM,Name checked; released; no further action,Male,UCPD,5100 S Harper,Caucasian,Well being check,Yes
29,6/29/2017 5:44 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1154 E 54th,African American,Suspicious person,No
30,6/29/2017 6:26 PM,Name checked; released to parents; no further acti,Male,Citizen request for UCPD Response,1226 E 53rd,African American,Witness observed juveniles throwing objects at a car,No
31,6/29/2017 6:26 PM,Name checked; released to parents; no further acti,Male,Citizen request for UCPD Response,1226 E 53rd,African American,Witness observed juveniles throwing objects at a car,No
32,6/29/2017 6:26 PM,Name checked; released to parents; no further acti,Male,Citizen request for UCPD Response,1226 E 53rd,African American,Witness observed juveniles throwing objects at a car,No
