,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
0,N/A,1/9/2016 10:34 AM,Verbal Warning,Male,Traffic Sign/Signal,1100 E 57th,Caucasian,Disobeyed Stop Sign,No
1,N/A,1/12/2016` 4:16 PM,Verbal Warning,Female,Lane Violation,5800 S. Woodlawn,Caucasian,Driving on crosswalk,No
2,N/A,1/14/2016 10:28 AM,Verbal Warning,Male,Lane Violation,5700 S. University,Asian,Wrong way on one way street,No
3,N/A,1/14/2016 8:14 PM,Verbal Warning,Female,Lane Violation,6100 S. University,African American,Improper passing/overtaking,No
4,Citation issued for disobeying stop sign,1/21/2016 8:49 PM,Citation Issued,Male,Traffic Sign/Signal,6000 S Drexel,African American,Failed to stop at intersection with pedestrians in area,No
5,N/A,1/22/2016 7:32 PM,Verbal Warning,Male,Traffic Sign/Signal,5626 S Blackstone,African American,Running stop sign and speeding,No
6,N/A,1/26/2016 10:42 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Dorchester,African American,Ran stop sign,No
7,N/A,1/30/2016 2:41 AM,Verbal Warning,Male,Traffic Sign/Signal,5100 Drexel Ave,African American,Ran red light,No
8,N/A,2/5/2016 6:16 PM,Verbal Warning,Male,Traffic Sign/Signal,5950 S Woodlawn,African American,Ran red light,No
9,N/A,2/5/2016 9:25 PM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Stony Island,African American,Ran stop sign,No
10,N/A,2/7/2016 1:32 PM,Verbal Warning,Female,Lane Violation,5730 S University,African American,Wrong way on one way road,No
11,Citation issued for unauthorized use of parking places reserved for persons with disability,2/7/2016 5:48 PM,Citation Issued,Male,Moving Violation - Other,1236 E 53rd,African American,Unauthorized use of parking places reserved for persons with disability,No
12,N/A,2/10/2016 5:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Hyde Park,African American,Ran red light,No
13,N/A,2/13/2016 1:38 PM,Verbal Warning,Female,Moving Violation - Other,5700 S Ellis,African American,Driving with someone on the hood of the vehicle,No
14,N/A,2/13/2016 8:16 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 Lake Park,African American,Ran stop sign,No
15,N/A,2/14/2016 12:53 AM,Verbal Warning,Male,Lane Violation,6000 Cottage Grove,Asian,Wrong way on one way road,No
