,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
0,N/A,7/1/2016 12:48 PM,Verbal Warning,Male,Moving Violation - Other,1450 E 55th,African American,Improper use of electronic communication device,No
1,N/A,7/3/2016 9:18 AM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Greenwood,African American,Ran red light,No
2,N/A,7/4/2016 11:25 AM,Verbal Warning,Male,Lane Violation,6200 S Woodlawn,African American,Wrong way on one way road,No
3,N/A,7/5/2016 6:57 AM,Verbal Warning,Female,Traffic Sign/Signal,5730 S Cottage Grove,African American,Ran red light,No
4,N/A,7/5/2016 3:04 PM,Verbal Warning,Female,Lane Violation,5600 S Ellis,African American,Wrong way on one way road,No
5,N/A,7/5/2016 8:12 PM,Verbal Warning,Male,Traffic Sign/Signal,1010 E 59th,African American,Ran stop sign,No
6,One citation issued for disobeying traffic control device,7/8/2016 2:48 PM,Citation Issued,Male,Lane Violation,6100 S Woodlawn,African American,Illegal passing,No
7,N/A,7/8/2019 10:40 AM,Verbal Warning,Female,Follow Too Close,55th and Ellis,African American,Following too closely,No
8,N/A,7/9/2016 11:09 PM,Verbal Warning,Male,Lane Violation,5700 S Woodlawn,Caucasian,Wrong way on one way road,No
9,N/A,7/10/2016 11:07 AM,Verbal Warning,Male,Lane Violation,1446 E 55th,African American,Right turn in front of CTA bus,No
10,N/A,7/12/2016 6:05 PM,Verbal Warning,Male,Traffic Sign/Signal,4900 S Dorchester,African American,Ran stop sign,No
11,One citation issued for expired registration,7/14/2016 10:35 AM,Citation Issued,Female,Traffic Sign/Signal,5400 S Woodlawn,Caucasian,Ran red light,No
12,N/A,7/14/2016 11:20 PM,Verbal Warning,Male,Follow Too Close,5600 S Stony Island,African American,Following too closely,No
13,Arrested by CPD for DUI and fleeing scene of accident,7/16/2016 8:26 PM,Arrested by CPD,Male,Lane Violation,4900 S Blackstone,African American,Wrong way on one way street,No
14,N/A,7/17/2016 11:36 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Lake Park,Caucasian,Disobeyed traffic control device,No
15,N/A,7/18/2016 1:56 AM,Verbal Warning,Female,Traffic Sign/Signal,5800 Ellis,African American,Ran stop sign,No
16,N/A,7/19/2016 7:50 PM,Verbal Warning,Male,Traffic Sign/Signal,6050 S Woodlawn,Caucasian,Ran red light,No
17,One citation issued for disobeying traffic control device,7/20/2016 11:13 AM,Citation Issued,Male,Traffic Sign/Signal,5140 S Lake Park,African American,Ran stop sign,No
18,N/A,7/20/2016 8:32 PM,Verbal Warning,Male,Lane Violation,6300 University,African American,Illegal passing,No
19,N/A,7/20/2016 11:34 PM,Verbal Warning,Male,Lane Violation,6210 Kimbark,African American,Wrong way on one way street,No
20,Two citations issued for disobeying traffic control device and suspended license,7/23/2016 6:03 PM,Citation issued,Male,Traffic Sign/Signal,5500 S Woodlawn,African American,Ran red light,No
21,N/A,7/24/2016 7:27 AM,Verbal Warning,Female,Lane Violation,5600 S Woodlawn,Caucasian,Wrong way on one way street,No
22,N/A,7/24/2016 1:07 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Dorchester,African American,Disobeyed traffic control device,No
23,N/A,7/26/2016 7:43 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Woodlawn,Caucasian,Ran red light,No
24,Two citations issued for disobeying stop sign and suspended license,7/26/2016 12:14 PM,Citation issued,Male,Traffic Sign/Signal,5500 S Ellis,African American,Ran stop sign,No
25,N/A,7/30/2016 12:31 PM,Verbal Warning,Female,Lane Violation,5305 S Blackstone,African American,Wrong way on one way street,No
26,Two citations issued for disobeying traffic signal and no insurance,7/30/2016 5:14 PM,Citation issued,Female,Traffic Sign/Signal,5300 S Lake Park,African American,Ran red light,No
27,N/A,8/1/2016 4:41 PM,Verbal Warning,Male,Lane Violation,5339 S Kimbark,African American,Wrong way on one way street,No
28,N/A,8/2/2016 10:15,Verbal Warning,Female,Lane Violation,6300 S KIMBARK,African American,Improper lane usage,No
29,N/A,8/3/2016 11:12AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S WOODLAWN,Caucasian,Disobeyed traffic control device,No
30,N/A,8/4/2016 9:18 AM,Verbal Warning,Male,Lane Violation,5600 S Woodlawn,African American,Failure to signal,No
31,N/A,8/5/2016 12:44 AM,Verbal Warning,Male,Traffic Sign/Signal,5600 Lake Park,African American,Ran red light,No
32,N/A,8/6/2016 9:38 AM,Verbal Warning,Male,Lane Violation,5700 S Cottage Grove,African American,Driving in opposite lane of traffic,No
33,N/A,8/7/2016 2:44 AM,Verbal Warning,Male,Equipment,5400 S Blackstone,African American,Vehicle had obvious mechanical issues (unsafe vehicle),No
34,N/A,8/7/2016 3:17 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Woodlawn,African American,Ran stop sign,No
35,N/A,8/8/2016 4:32 PM,Verbal Warning,Male,Lane Violation,5900 S Kenwood,African American,Wrong way on one way street,No
36,N/A,8/8/2016 6:05 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 Kimbark,African American,Disobeyed traffic control device,No
37,N/A,8/8/2016 8:10 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 Stony Island,Asian,Ran stop sign,No
38,N/A,8/8/2016 11:15 PM,Verbal Warning,Female,Traffic Sign/Signal,6200 Kimbark,African American,Ran stop sign,No
39,N/A,8/9/2016 1:56 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Dorchester,African American,Ran red light,No
40,N/A,8/9/2016 2:19 PM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Dorchester,African American,Ran stop sign,No
41,N/A,8/10/2016 10:13 AM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Woodlawn,Asian,Disobeyed traffic control device,No
42,N/A,8/10/2016 1:14 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Stony Island,Caucasian,Ran red light,No
43,N/A,8/10/2016 5:37 PM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Woodlawn,African American,Ran stop sign,No
44,N/A,8/11/2016 11:11 AM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Ellis,African American,Ran stop sign,No
45,N/A,8/11/2016 12:26 PM,Verbal Warning,Female,Traffic Sign/Signal,6100 Cottage Grove,African American,Ran stop sign,No
46,N/A,8/11/2016 3:34 PM,Verbal Warning,Female,Lane Violation,5500 S Ellis,Caucasian,Improper Turn,No
47,N/A,8/14/2016 9:27 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 Kimbark,African American,Disobeyed traffic control device,No
48,N/A,8/15/2016 8:18 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Woodlawn,African American,Disobeyed traffic control device,No
49,N/A,8/15/2016 9:00 AM,Verbal Warning,Male,Traffic Sign/Signal,5430 S Cornell,African American,Ran stop sign,No
50,Two citations issued,8/16/2016 2:23 PM,Citation Issued,Male,Traffic Sign/Signal,1603 E 55th,African American,Disobeyed Stop Sign,No
51,N/A,8/16/2016 7:18 PM,Verbal Warning,Male,Traffic Sign/Signal,6200 S GREENWOOD,African American,Disobeyed Stop Sign,No
52,Two citations issued,8/17/2016 11:23 PM,Citation Issued,Male,Lane Violation,5300  S HARPER,African American,Improper passing/overtaking,No
53,N/A,8/19/2016 1:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Cottage Grove,African American,Failure to yield to pedestrian in crosswalk,No
54,N/A,8/19/2016 8:15 PM,Verbal Warning,Female,Traffic Sign/Signal,1400 E 57th,African American,Ran stop sign,No
55,N/A,8/19/2016 9:39 PM,Verbal Warning,Female,Traffic Sign/Signal,5200 S Drexel,African American,Ran stop sign,No
56,N/A,8/20/2016 8:10 AM,Verbal Warning,Female,Lane Violation,5500 S Kenwood,Hispanic,Illegal right turn,No
57,N/A,8/21/2016 11:30 AM,Verbal Warning,Female,Traffic Sign/Signal,6225 S Kenwood,African American,Ran stop sign,No
58,N/A,8/21/2016 3:10 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,African American,Ran stop sign,No
59,N/A,8/21/2016 10:51 PM,Verbal Warning,Male,License Plate/Registration,6300 S Ellis,African American,Improper display of registration plate,No
60,Two citations issued for disobeying traffic control device and no valid driver's license,8/24/2016 1:29 AM,Arrested on warrant,Male,Traffic Sign/Signal,5300 Lake Park,African American,Ran red light,No
61,N/A,8/24/2016 5:30 PM,Verbal Warning,Male,Traffic Sign/Signal,5489 Cornell Ave,Asian,Ran stop sign,No
62,N/A,8/24/2016 5:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5489 Cornell Ave,African American,Ran stop sign,No
63,N/A,8/25/2016 9:50 AM,Verbal Warning,Male,Lane Violation,5741 S Kenwood,African American,Wrong way on one way street,No
64,N/A,8/25/2016 12:08 PM,Verbal Warning,Female,Lane Violation,6000 Stony Island,African American,Improper passing,No
65,N/A,8/25/2016 6:38 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kenwood,Asian,Ran stop sign,No
66,N/A,8/26/2016 1:07 PM,Verbal Warning,Male,Lane Violation,5400 S Ellis,African American,Wrong way on one way street,No
67,N/A,8/28/2016 12:47 AM,Verbal Warning,Male,Traffic Sign/Signal,1355 E 53rd,Caucasian,Ran two stop signs,No
68,N/A,8/30/2016 11:56 AM,Verbal Warning,Male,Traffic Sign/Signal,6345 S MARYLAND,African American,Disobeyed traffic control device,No
69,N/A,8/30/2016 6:18 PM,Verbal Warning,Male,Lane Violation,5600 S ELLIS,Caucasian,Improper U-Turn,No
70,N/A,8/30/2016 9;21 PM,Verbal Warning,Female,Traffic Sign/Signal,5200 S BLACKSTONE,Caucasian,Ran stop sign,No
71,N/A,8/30/2016 11;56 PM,Verbal Warning,Male,Lane Violation,5300 S DORCHESTER,African American,Wrong way on one way street,No
72,N/A,8/31/2016 3:40 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 S ELLIS,Caucasian,Disobeyed traffic control device,No
73,N/A,9/2/2016 4:54 PM,Verbal Warning,Male,Lane Violation,5759 S Kimbark,African American,Wrong way on one way street,No
74,N/A,9/2/2016 11:38 PM,Verbal Warning,Male,Lane Violation,5700 S Blackstone,Caucasian,Wrong way on one way street,No
75,N/A,9/3/2016 12:02 PM,Verbal Warning,Female,Lane Violation,5600 S Ellis,Hispanic,Wrong way on one way street,No
76,N/A,9/3/2016 1:53 PM,Verbal Warning,Male,Lane Violation,5555 S Woodlawn,Caucasian,Wrong way on one way street,No
77,N/A,9/4/2016 2:56 PM,Verbal Warning,Male,Traffic Sign/Signal,4900 S Dorchester,African American,Ran stop sign,No
78,N/A,9/4/2016 9:50 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Harper,African American,Ran stop sign,No
79,N/A,9/5/2016 1:38 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,Hispanic,Ran red light,No
80,One citation issued for disobeying traffic control device,9/7/2016 4:40 PM,Citation issued,Female,Traffic Sign/Signal,5530 S Ellis,Caucasian,Ran stop sign,No
81,N/A,9/8/2016 8:40 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Greenwood,African American,Ran red light,No
82,N/A,9/8/2016 4:06 PM,Verbal Warning,Female,Traffic Sign/Signal,1301 E 57th,African American,Ran stop sign,No
83,N/A,9/8/2016 4:17 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Kimbark,African American,Ran stop sign,No
84,Two citations issued for speeding and suspended DL,9/10/2016 10:53 AM,Citation issued,Male,Speed,1100 E Midway Plaisance,African American,Speeding,No
85,N/A,9/12/2016 12:35 PM,Verbal Warning,Male,Traffic Sign/Signal,1406 E 53rd,African American,Disobeyed traffic control device,No
86,Two citations issued for disobeying traffic control device and no valid driver's license,9/13/2016 2:43 AM,Citation issued,Male,Traffic Sign/Signal,5600 S Ellis,Hispanic,Ran stop sign,No
87,N/A,9/16/2016 9:00 AM,Verbal Warning,Male,Traffic Sign/Signal,850 E Midway Plaisance,African American,Failed to yield to pedestrian in crosswalk,No
88,N/A,9/16/2016 4:46 PM,Verbal Warning,Male,Seatbelt,5700 S Kimbark,Caucasian,R/O observed small child hanging out of rear window,No
89,N/A,9/16/2016 4:51 PM,Verbal Warning,Male,Lane Violation,5700 S Kenwood,Caucasian,Wrong way on one way street,No
90,N/A,9/19/2016 4:28 PM,Verbal Warning,Male,Traffic Sign/Signal,945 E 52nd,African American,Ran stop sign,No
91,N/A,9/19/2016 5:02 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Woodlawn,Asian,Failure to yield to pedestrian in crosswalk,No
92,Two citations issued for disobeying traffic control device and suspended license,9/19/2016 6:34 PM,Citation Issued,Female,Traffic Sign/Signal,6000 Dorchester,African American,Ran stop sign,No
93,N/A,9/21/2016 2:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5430 S Lake Park,African American,Failure to yield to pedestrian in crosswalk,No
94,N/A,9/21/2016 4:49 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S University,Caucasian,Ran stop sign,No
95,N/A,9/21/2016 9:48 PM,Verbal Warning,Male,Lane Violation,5500 S Cottage Grove,African American,Improper passing,No
96,N/A,9/22/2016 8:15 AM,Verbal Warning,Male,Speed,1155 E Midway Plaisance,African American,Speeding,No
97,N/A,9/22/2016 8:31 AM,Verbal Warning,Female,Speed,1200 E Midway Plaisance,African American,Speeding,No
