,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
0,N/A,1/2/2019 10:17 PM,Verbal Warning,Male,Traffic Sign/Signal,1463 E 53rd,African American,Stop Sign Violation,No
1,One Citation Issued,1/4/2019 7:11 AM,Citation Issued,Male,Moving Violation � Other,6100 S. Woodlawn,African American,Safety hazard - improper parking on roadway,No
2,N/A,1/4/2019 3:35 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S. Lake Park,African American,Disobey traffic control device,No
3,N/A,1/4/2019 6:18 PM,Verbal Warning,Male,Lane Violation,924 E 57th,Caucasian,Driving in Main Quad on walk way,No
4,N/A,1/4/2019 9:52 PM,Verbal Warning,Female,Lane Violation,5600 Ellis,African American,Wrong way on a one way,No
5,N/A,1/5/2019 1:25 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. University,African American,Disobey traffic control device,No
6,N/A,1/5/2019 5:35 PM,Verbal Warning,Male,Lane Violation,5401 Greenwood,Caucasian,Wrong way on one way,No
7,N/A,1/5/2019 6:51 PM,Verbal Warning,Male,Lane Violation,5400 Ridgewood Court,African American,Wrong way on one way,No
8,N/A,1/5/2019 7:41 PM,Verbal Warning,Male,Lane Violation,5200 Dorchester,Caucasian,Wrong way on one way,No
9,N/A,1/5/2019 9:37 PM,Verbal Warning,Female,Traffic Sign/Signal,4900 Woodlawn,Caucasian,Failed to stop at sign,No
10,One Citation Issued,1/6/2019 4:40 PM,Citation Issued,Male,Traffic Sign/Signal,5300 S Ellis,African American,Traffic Light Violation,No
11,N/A,1/6/2019 8:05 PM,Verbal Warning,Female,Lane Violation,5100 Drexel,African American,Improper Passing,No
12,N/A,1/6/2019 8:23 PM,Verbal Warning,Male,Lane Violation,5500 Cottage,African American,Driving across center line,No
13,N/A,1/6/2019 8:36 OM,Verbal Warning,Female,Lane Violation,5600 Stony,African American,Improper Passing,No
14,N/A,1/8/2019 2:21 PM,Verbal Warning,Female,Traffic Sign/Signal,1100 E 53rd St,African American,Disobeying Traffic Control Device,No
15,N/A,1/8/2019 9:55 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 S Lake Park,African American,Stop Sign Violation,No
16,N/A,1/8/2019 10:18 PM,Verbal Warning,Male,Traffic sign/signal,5100 S Lake Park,African American,Stop Sign Violation,No
17,N/A,1/8/2019 10:37 PM,Verbal Warning,Male,Traffic sign/signal,5600 S Lake Park,African American,Stop Sign Violation,No
18,One Citation Issued,1/9/2019 5:04 AM,Citation Issued,Female,Traffic sign/signal,5700 S Cornell,African American,Red Light Violation,No
19,N/A,1/9/2019 6:36 PM,Verbal Warning,Male,Traffic Sign/Signal,1624 E 55th,African American,Failed to stop at signal,No
20,N/A,1/9/2019 7:24 PM,Verbal Warning,Male,Speed,5200 Lake Park,African American,Speeding,No
21,N/A,1/9/2019 8:52 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Greenwood,African American,Failed to stop at signal,No
22,N/A,1/9/2019 10:56 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 Woodlawn,African American,Failed to stop at signal,No
23,N/A,1/10/2019 5:07 AM,Verbal Warning,Male,Lane Violation,1400 Midway Plaisance,African American,Lane violation,No
24,N/A,1/10/2019 10:17 AM,Verbal Warning,Female,Lane Violation,5700 S. Harper,Caucasian,Driving down one-way,No
25,N/A,1/10/2019 2:59 PM,Verbal Warning,Male,Traffic Sign/Signal,5610 S. Ellis,Caucasian,Disobey stop sign,No
26,N/A,1/10/2019 5:50 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 Kimbark,African American,Failed to stop at sign,No
27,N/A,1/10/2019 7:48 PM,Verbal Warning,Male,Equipment,5600 Lake Park,Caucasian,No Headlights,No
28,N/A,1/10/2019 8:42 PM,Verbal Warning,Male,Equipment,5500 Ellis,African American,No Headlights,No
